Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Spending
1971,Graduation,Married,25721.0,1,0,75,1,1,1,2,7,0,0,0,0,0,0,1,43,34
1967,Graduation,Married,32474.0,1,1,0,1,1,0,2,7,0,0,0,0,0,0,0,47,11
1979,Graduation,Single,88194.0,0,1,19,1,11,10,10,5,1,0,0,1,0,0,1,35,1274
1958,Graduation,Married,69096.0,0,1,4,1,5,2,10,4,0,0,0,0,0,0,0,56,653
1970,Graduation,Married,74854.0,1,2,90,7,2,5,5,5,0,0,0,0,0,0,0,44,1562
1954,Master,Married,66991.0,0,0,1,3,4,8,6,3,0,0,0,0,0,0,0,60,1253
1959,Graduation,Married,65031.0,0,1,29,4,10,3,13,7,0,0,0,0,0,0,0,55,863
1975,PhD,Married,60631.0,1,1,88,5,9,2,8,7,0,1,0,0,0,0,0,39,661
1952,Graduation,Married,28332.0,0,0,58,1,2,1,4,2,0,0,0,0,0,0,0,62,65
1977,Graduation,Divorced,40246.0,1,0,68,1,1,0,2,6,0,0,0,0,0,0,0,37,13
1972,Master,Married,75251.0,0,0,34,1,7,6,5,5,0,0,0,0,0,0,1,42,1890
1976,Graduation,Single,75825.0,0,0,40,0,5,8,9,4,1,0,0,0,0,0,1,38,2209
1976,Graduation,Married,26326.0,0,0,12,1,0,0,3,3,0,0,0,0,0,1,0,38,18
1965,Graduation,Married,56046.0,0,0,9,2,10,1,8,8,1,0,0,0,0,0,1,49,692
1985,Graduation,Single,29760.0,1,0,87,4,3,1,4,8,0,0,0,0,0,0,0,29,165
1969,Graduation,Married,26304.0,1,0,5,1,1,0,2,7,0,0,0,0,0,0,0,45,16
1973,Graduation,Married,23559.0,1,0,87,3,3,0,3,7,0,0,0,0,0,0,0,41,79
1987,Graduation,Divorced,81361.0,0,0,18,1,3,10,13,1,0,0,0,0,0,0,0,27,778
1960,Graduation,Married,29440.0,1,1,95,2,1,0,4,7,0,0,0,0,0,0,0,54,56
1970,Master,Married,36138.0,1,1,48,5,3,1,4,7,0,1,0,0,0,0,0,44,151
1957,Graduation,Single,50388.0,0,1,3,4,6,1,6,7,0,1,0,1,0,0,1,57,372
1973,Graduation,Married,79593.0,0,0,70,1,5,6,7,2,0,0,1,0,0,0,0,41,1366
1967,Graduation,Married,54178.0,0,1,79,1,2,2,5,2,0,0,0,0,0,0,0,47,194
1972,Master,Single,42394.0,1,0,69,1,1,0,3,7,0,0,0,0,0,0,0,42,32
1970,PhD,Married,23626.0,1,0,84,3,3,1,3,5,0,0,0,0,0,0,0,44,43
1983,Graduation,Married,30096.0,1,0,30,1,2,0,3,6,0,0,0,0,0,0,0,31,45
1960,Graduation,Widow,47916.0,0,1,72,5,7,4,6,6,0,1,0,0,0,0,0,54,606
1972,Graduation,Divorced,51813.0,1,1,37,2,2,0,3,7,0,0,0,0,0,0,0,42,63
1951,Graduation,Married,78497.0,0,0,44,1,5,7,12,2,0,0,0,1,0,0,0,63,978
1983,PhD,Married,50150.0,0,0,32,2,5,2,7,5,0,0,0,0,0,0,0,31,410
1960,Graduation,Single,47823.0,0,1,0,2,2,0,3,8,0,0,0,0,0,0,0,54,72
1959,PhD,Single,34554.0,0,1,43,2,2,0,3,6,0,0,0,0,0,0,0,55,55
1979,Graduation,Married,85693.0,0,1,59,2,9,5,11,5,0,0,0,0,0,0,0,35,1169
1945,PhD,Married,65846.0,0,0,68,1,6,3,6,4,0,0,0,0,0,0,0,69,1120
1959,Graduation,Married,87195.0,0,0,35,1,3,11,5,1,0,0,0,0,0,0,1,55,1097
1979,Basic,Married,24594.0,1,0,94,1,1,0,3,5,0,0,0,0,0,0,0,35,29
1964,Graduation,Married,49096.0,1,1,15,4,4,1,4,7,0,0,0,0,0,0,0,50,187
1969,Graduation,Married,52413.0,0,2,56,4,6,4,12,6,0,0,0,0,0,0,0,45,910
1978,Graduation,Single,38557.0,1,0,17,2,3,1,3,7,0,0,0,0,0,0,0,36,145
1960,Master,Married,89058.0,0,0,18,1,5,4,4,2,0,0,0,0,0,0,0,54,850
1979,Graduation,Married,77298.0,0,1,46,1,6,6,11,3,0,0,0,0,0,0,0,35,969
1991,PhD,Single,68126.0,0,0,40,1,7,4,5,9,0,1,0,0,0,0,1,23,1820
1963,Master,Married,57288.0,0,1,27,3,8,1,8,6,0,1,0,0,0,0,0,51,608
1991,Graduation,Single,86037.0,0,0,95,1,6,7,11,3,0,1,1,0,0,0,1,23,730
1980,PhD,Married,43974.0,1,0,19,5,6,4,6,7,0,0,0,0,0,0,0,34,551
1962,Graduation,Single,50785.0,1,1,27,2,2,1,3,6,0,0,0,0,0,0,0,52,114
1970,Graduation,Married,90765.0,0,0,25,0,4,6,5,1,0,0,1,1,0,0,0,44,1724
1978,Graduation,Married,36550.0,1,0,74,5,9,1,5,9,0,0,0,0,0,0,0,36,577
1967,Graduation,Married,30753.0,1,1,85,2,1,1,3,5,0,0,0,0,0,0,0,47,81
1969,Graduation,Married,21918.0,1,0,37,2,2,0,3,6,0,0,0,0,0,0,0,45,33
1953,Master,Married,56129.0,0,1,65,4,6,2,10,4,0,0,0,0,0,0,0,61,660
1967,Master,Single,32557.0,1,0,13,3,2,1,3,5,0,0,0,0,0,0,1,47,80
1985,Master,Married,19510.0,2,0,63,2,1,0,3,7,0,0,0,0,0,0,0,29,30
1976,Graduation,Divorced,30992.0,1,0,83,1,1,0,3,7,0,0,0,0,0,0,0,38,43
1983,Graduation,Single,101970.0,0,0,69,0,6,8,13,2,0,1,1,1,0,0,1,31,1135
1965,Graduation,Married,71488.0,0,0,87,2,3,4,7,1,0,0,0,0,0,0,0,49,559
1984,Graduation,Single,79607.0,0,0,37,1,3,6,6,1,0,0,0,0,0,0,1,30,1923
1953,Master,Married,54348.0,1,1,51,2,2,0,4,6,0,0,0,0,0,0,0,61,90
1956,PhD,Married,77376.0,1,1,72,4,6,3,10,4,0,0,0,0,0,0,0,58,661
1952,Graduation,Married,62998.0,0,1,10,5,5,4,5,5,0,0,0,0,0,0,0,62,463
1958,Master,Single,61331.0,1,1,42,5,11,1,6,8,0,0,0,0,0,0,0,56,632
1969,Graduation,Married,73448.0,0,0,10,1,7,2,9,4,0,0,0,0,0,0,0,45,725
1964,PhD,Married,41551.0,1,1,51,5,5,1,5,8,0,0,0,0,0,0,0,50,279
1967,PhD,Married,62981.0,0,0,21,1,4,5,13,3,0,1,0,0,0,0,0,47,1482
1976,Basic,Divorced,9548.0,1,0,31,2,1,0,3,8,0,0,0,0,0,0,0,38,29
1959,PhD,Married,33762.0,2,1,61,3,2,2,2,8,0,0,0,0,0,0,0,55,106
1973,PhD,Single,35860.0,1,1,37,2,1,1,2,5,1,0,0,0,0,0,1,41,49
1965,PhD,Divorced,36921.0,1,1,74,2,2,0,3,7,0,0,0,0,0,0,0,49,38
1992,Master,Single,92859.0,0,0,46,1,5,4,12,2,0,0,0,0,0,0,0,22,2077
1976,Master,Married,65104.0,0,1,4,2,3,5,7,7,0,0,0,0,0,0,1,38,1053
1962,Graduation,Married,86111.0,0,0,73,1,5,7,10,2,0,0,0,0,0,0,0,52,1385
1974,PhD,Single,68352.0,0,1,47,3,8,5,9,6,0,0,0,0,0,0,0,40,871
1988,Graduation,Married,41883.0,1,0,13,3,4,2,3,7,0,0,0,0,0,0,0,26,312
1976,Graduation,Married,59809.0,0,2,36,3,3,3,6,8,0,0,0,0,0,0,0,38,877
1975,Graduation,Married,23957.0,1,0,47,1,2,0,3,6,0,0,0,0,0,0,1,39,68
1981,Graduation,Married,38547.0,1,0,49,1,1,0,2,8,0,0,0,0,0,1,0,33,22
1973,Graduation,Married,35688.0,2,1,94,7,4,1,4,8,0,0,0,0,0,0,0,41,211
1966,Master,Married,49605.0,0,0,65,1,2,1,4,3,0,0,0,0,0,0,0,48,127
1953,Master,Married,59354.0,0,2,59,1,4,4,7,3,0,0,0,0,0,0,0,61,459
1969,Graduation,Married,65747.0,0,1,96,4,8,1,6,6,0,1,0,0,0,0,0,45,460
1972,Graduation,Married,46344.0,0,1,28,4,7,1,5,7,0,0,0,0,0,0,0,42,429
1988,Graduation,Single,34176.0,1,0,12,4,3,0,4,6,0,0,0,0,0,0,0,26,89
1952,PhD,Married,61010.0,0,1,57,2,8,5,11,5,0,0,0,0,0,0,0,62,1021
1949,Graduation,Married,69372.0,0,0,10,1,10,4,6,4,0,1,1,0,0,0,1,65,1381
1958,Graduation,Single,49967.0,0,1,4,3,6,1,5,7,0,0,0,0,0,0,0,56,306
1978,Graduation,Single,60199.0,1,2,49,1,0,0,3,4,0,0,0,0,0,0,0,36,18
1977,Graduation,Married,55375.0,0,1,3,1,1,1,6,2,0,0,0,0,0,0,0,37,162
1955,Graduation,Single,80317.0,0,0,64,1,3,4,10,1,0,0,0,0,0,0,0,59,1231
1958,Master,Single,30523.0,2,1,0,1,1,0,2,7,0,0,0,0,0,0,0,56,13
1945,PhD,Married,70356.0,0,0,20,2,10,6,9,6,0,0,0,0,0,0,0,69,1706
1984,Graduation,Married,23228.0,1,0,91,4,3,0,4,8,0,0,0,0,0,0,0,30,121
1975,PhD,Divorced,74165.0,0,0,9,1,5,4,10,2,0,0,0,0,0,0,0,39,1293
1973,PhD,Married,157243.0,0,1,98,15,0,22,0,0,0,0,0,0,0,0,0,41,1608
1966,Graduation,Married,43482.0,2,1,83,3,2,0,4,6,0,0,0,0,0,0,0,48,88
1953,Graduation,Divorced,62551.0,0,0,27,1,6,7,4,3,1,0,0,0,0,0,0,61,421
1959,Graduation,Divorced,52332.0,0,0,63,1,3,2,6,4,0,1,0,0,0,0,0,55,259
1988,Graduation,Single,66951.0,0,0,46,1,3,4,7,1,0,0,0,0,0,0,0,26,1117
1957,Graduation,Married,26091.0,1,1,84,3,2,1,3,5,0,0,0,0,0,0,0,57,89
1965,Graduation,Married,33456.0,1,1,58,2,1,0,3,7,0,0,0,0,0,0,0,49,36
1982,Graduation,Married,28718.0,1,0,78,2,2,0,3,8,0,0,0,0,0,0,0,32,57
1970,Graduation,Married,50447.0,2,0,4,1,3,1,3,6,0,0,0,0,0,0,0,44,148
1959,PhD,Married,53537.0,1,1,17,2,2,1,3,5,0,0,0,0,0,0,0,55,93
1967,Graduation,Single,52074.0,0,1,77,1,2,2,2,4,1,0,0,0,0,0,0,47,119
1975,PhD,Married,80427.0,0,1,56,1,11,8,8,5,0,0,0,0,0,0,0,39,1835
1948,PhD,Married,83837.0,0,0,79,1,9,10,5,4,0,1,0,1,0,0,1,66,1318
1970,PhD,Married,38853.0,1,1,90,2,2,0,3,7,0,0,0,0,0,0,0,44,45
1959,Graduation,Married,38285.0,2,1,96,1,0,0,3,2,0,0,0,0,0,0,0,55,10
1976,PhD,Married,51650.0,0,1,81,1,4,1,4,5,0,0,0,0,0,0,0,38,191
1988,Graduation,Married,16248.0,1,0,77,3,2,1,3,6,0,0,0,0,0,0,0,26,57
1946,Master,Married,66835.0,0,0,21,1,6,4,13,2,0,0,0,0,0,0,0,68,1033
1984,Master,Married,30477.0,1,0,16,1,1,1,3,6,0,0,0,0,0,0,0,30,66
1961,Basic,Married,28249.0,0,0,80,1,2,0,3,6,0,0,0,0,0,0,0,53,43
1983,Graduation,Married,25271.0,1,0,45,1,1,1,2,9,0,0,0,0,0,0,0,31,50
1970,PhD,Single,32303.0,0,1,63,2,1,0,4,5,0,0,0,0,0,0,0,44,39
1966,Graduation,Married,61286.0,0,1,34,2,7,1,8,5,0,0,0,0,0,0,0,48,608
1976,Graduation,Married,74068.0,0,0,14,1,4,10,9,2,0,0,0,0,0,0,0,38,1581
1964,PhD,Married,45759.0,1,1,13,2,2,0,3,7,0,0,0,0,0,0,0,50,68
1978,Basic,Married,24882.0,1,0,52,1,1,1,2,6,1,0,0,0,0,0,0,36,80
1989,PhD,Married,66973.0,0,0,98,1,8,7,12,3,0,0,0,0,0,0,0,25,1282
1900,Graduation,Divorced,36640.0,1,0,99,1,2,1,2,5,0,0,0,0,0,1,0,114,65
1988,Graduation,Married,38872.0,1,0,93,2,3,0,3,8,0,0,0,0,0,0,0,26,91
1973,Graduation,Married,51148.0,1,1,38,4,5,1,6,6,0,0,0,0,0,0,0,41,315
1977,Graduation,Married,31353.0,1,1,24,2,1,1,2,8,0,0,0,0,0,0,0,37,31
1980,Master,Married,69661.0,0,0,80,1,7,3,12,3,0,0,0,0,0,0,0,34,834
1954,Graduation,Married,80067.0,0,0,82,1,4,6,6,2,0,0,1,0,0,0,0,60,1600
1954,Graduation,Married,86718.0,0,0,20,1,5,6,5,2,0,0,0,0,0,0,0,60,1270
1973,PhD,Single,46854.0,1,1,81,6,5,1,3,8,1,0,0,0,0,0,1,41,263
1952,Graduation,Divorced,69142.0,0,1,50,3,8,1,7,5,0,1,0,0,0,0,0,62,535
1968,Graduation,Single,75922.0,0,0,60,1,4,4,9,1,0,0,0,0,0,0,0,46,1295
1978,Graduation,Divorced,63693.0,0,1,63,3,11,6,9,6,0,0,0,0,0,0,0,36,1150
1977,PhD,Married,102160.0,0,0,54,0,7,9,10,4,0,1,1,1,0,0,1,37,1240
1965,PhD,Single,40637.0,1,1,72,2,1,0,3,7,0,0,0,0,0,0,0,49,38
1984,Master,Single,18890.0,0,0,5,1,0,1,2,6,1,0,0,0,0,0,1,30,35
1988,Graduation,Married,29604.0,1,0,88,1,1,0,3,9,1,0,0,0,0,0,0,26,53
1963,Master,Divorced,48721.0,1,1,50,6,4,2,5,6,0,0,0,0,0,0,0,51,293
1966,Graduation,Married,44794.0,0,1,99,1,2,0,3,6,0,0,0,0,0,0,0,48,65
1954,Graduation,Divorced,64497.0,0,1,17,5,11,4,9,8,1,0,0,0,0,0,1,60,1804
1956,Graduation,Married,46097.0,0,1,11,5,3,1,6,4,0,0,0,0,0,0,0,58,241
1954,Graduation,Married,77972.0,0,0,18,1,4,6,9,1,0,0,0,0,0,0,0,60,1101
1968,PhD,Married,44377.0,1,1,70,8,5,1,5,8,0,0,0,0,0,0,0,46,264
1974,Master,Married,46014.0,1,1,21,10,7,1,8,7,0,0,0,0,0,0,0,40,541
1985,Graduation,Married,70951.0,0,0,66,1,3,4,9,1,0,0,0,0,0,0,0,29,1198
1977,Graduation,Married,41443.0,1,0,79,6,8,1,5,8,0,0,0,0,0,0,0,37,482
1978,Graduation,Single,52195.0,2,1,2,1,1,0,2,8,0,0,0,0,0,0,0,36,17
1948,Master,Married,83790.0,0,0,81,1,8,10,6,3,0,1,1,0,0,0,0,66,1615
1954,Master,Widow,44551.0,0,1,24,2,4,1,5,7,0,0,0,0,0,0,0,60,285
1980,Graduation,Married,69508.0,1,0,48,2,11,4,11,6,0,0,0,0,0,0,0,34,1135
1988,Graduation,Married,45204.0,1,0,93,1,1,1,4,3,0,0,0,0,0,0,0,26,114
1969,Graduation,Married,72460.0,0,0,56,1,3,5,7,1,0,0,0,0,0,0,0,45,1047
1970,PhD,Married,77622.0,0,2,3,2,6,3,11,3,0,0,0,0,0,0,0,44,714
1980,PhD,Married,30732.0,1,0,44,4,4,1,4,8,0,0,0,0,0,0,0,34,185
1962,Graduation,Divorced,63887.0,0,1,38,5,9,6,12,6,0,0,0,0,0,0,0,52,1245
1978,Graduation,Married,42011.0,1,0,46,4,3,1,4,8,0,0,0,0,0,0,0,36,189
1976,Graduation,Married,51369.0,0,1,84,2,8,2,4,8,0,0,0,0,0,0,0,38,576
1952,Graduation,Divorced,51537.0,0,1,27,3,2,2,11,8,0,0,0,0,0,0,0,62,1103
1972,PhD,Married,79930.0,0,0,72,1,3,5,8,2,0,0,0,0,0,0,0,42,1753
1986,PhD,Married,34320.0,1,0,66,1,1,0,2,8,0,0,0,0,0,0,0,28,17
1966,Graduation,Single,37070.0,1,1,30,9,5,1,8,7,0,0,0,0,0,0,1,48,433
1962,Graduation,Divorced,81975.0,0,1,2,1,6,3,4,7,0,0,1,0,0,0,0,52,1588
1971,Graduation,Married,38590.0,1,0,65,1,1,0,2,8,0,0,0,0,0,0,0,43,22
1951,Graduation,Single,15033.0,0,0,37,1,1,0,3,3,0,0,0,0,0,0,0,63,19
1965,PhD,Married,62745.0,0,1,89,3,7,8,11,5,0,0,0,0,0,0,0,49,1117
1975,Graduation,Married,22212.0,1,0,49,2,2,0,4,6,0,0,0,0,0,0,0,39,69
1982,Master,Married,23661.0,1,0,46,1,1,0,3,7,0,0,0,0,0,0,0,32,23
1958,PhD,Single,79761.0,0,1,32,1,5,2,11,3,0,0,0,0,0,0,0,56,605
1973,Graduation,Single,7500.0,1,0,54,4,3,1,3,7,0,0,0,0,0,0,0,41,57
1893,Graduation,Single,60182.0,0,1,23,1,1,0,2,4,0,0,0,0,0,0,0,121,22
1968,Graduation,Widow,73455.0,0,0,98,1,6,5,10,3,0,1,0,0,0,0,0,46,2088
1958,Graduation,Married,64961.0,0,1,97,2,6,4,4,3,0,0,0,0,0,0,0,56,1009
1971,Graduation,Single,22804.0,1,0,75,1,2,0,2,9,0,0,0,0,0,0,0,43,26
1990,Graduation,Married,73687.0,0,0,8,1,3,9,9,2,0,0,0,1,0,0,1,24,1627
1958,Graduation,Married,61074.0,0,1,37,7,11,5,8,7,0,0,0,0,0,0,0,56,1102
1964,PhD,Married,31686.0,1,1,31,2,1,0,3,6,0,0,0,0,0,0,0,50,17
1972,Graduation,Married,80134.0,1,0,40,2,5,3,6,6,0,1,1,1,0,0,1,42,1690
1953,Graduation,Married,75027.0,0,1,74,2,9,4,6,5,0,0,0,0,0,0,0,61,1390
1988,PhD,Married,67546.0,0,0,90,1,4,10,5,3,0,0,0,0,0,0,0,26,2126
1969,Master,Married,65176.0,0,1,57,4,9,6,6,6,0,0,0,0,0,0,0,45,1531
1975,Master,Single,31160.0,1,0,59,2,2,0,3,8,0,0,0,0,0,0,0,39,64
1985,Graduation,Single,29938.0,1,0,52,2,1,0,3,6,0,0,0,0,0,0,0,29,26
1974,Graduation,Divorced,102692.0,0,0,5,1,6,9,13,2,0,1,1,1,1,0,1,40,1112
1958,Graduation,Married,26490.0,0,0,92,2,3,1,5,6,0,0,0,0,0,0,0,56,210
1967,Graduation,Married,75702.0,1,1,77,5,4,6,11,8,0,0,0,0,0,0,0,47,1148
1974,PhD,Single,30899.0,1,0,35,2,1,0,3,6,0,0,0,0,0,0,0,40,33
1961,PhD,Married,63342.0,0,1,48,3,8,3,5,6,0,1,0,0,0,0,0,53,1101
1964,Graduation,Single,45989.0,0,1,97,4,3,2,7,3,0,0,0,0,0,0,0,50,322
1964,Graduation,Single,18701.0,1,1,95,4,2,0,4,5,0,0,0,0,0,0,0,50,44
1957,PhD,Single,40737.0,2,1,24,1,1,0,2,8,0,0,0,0,0,0,0,57,17
1979,Graduation,Divorced,15287.0,1,0,60,2,1,1,2,7,1,0,0,0,0,0,1,35,31
1968,PhD,Divorced,69674.0,0,2,46,3,10,2,10,5,0,0,0,0,0,0,0,46,845
1970,Master,Married,44159.0,1,0,85,4,4,1,6,5,0,0,0,0,0,0,0,44,275
1978,PhD,Married,37717.0,1,0,31,1,1,0,2,9,0,0,0,0,0,0,0,36,25
1952,Master,Married,43776.0,1,1,9,6,5,2,4,8,0,0,0,0,0,0,1,62,275
1966,Master,Married,38179.0,1,1,30,4,3,1,3,7,0,0,0,0,0,0,0,48,90
1963,Graduation,Married,80124.0,0,0,47,1,3,7,8,1,1,0,0,0,0,0,0,51,1495
1970,PhD,Married,38097.0,1,1,70,4,3,2,2,7,1,0,0,0,0,0,1,44,184
1970,Graduation,Married,72940.0,0,0,13,1,3,3,6,1,0,0,0,0,0,0,0,44,981
1970,Graduation,Married,22070.0,1,0,11,2,2,2,2,6,0,0,0,0,0,0,0,44,67
1953,Graduation,Single,69267.0,0,0,31,2,3,4,5,7,0,0,0,0,0,0,1,61,1635
1983,Master,Single,31788.0,1,0,15,3,3,0,4,5,0,0,0,0,0,1,0,31,60
1975,PhD,Married,61905.0,0,1,2,2,4,2,4,5,0,0,0,0,0,0,0,39,231
1960,Graduation,Married,29315.0,1,1,55,4,2,0,4,6,0,0,0,0,0,0,0,54,48
1963,Graduation,Divorced,33378.0,1,1,38,3,2,0,4,7,0,0,0,0,0,0,0,51,99
1963,PhD,Married,66313.0,0,1,86,2,6,3,12,4,0,0,0,0,0,0,0,51,770
1956,Graduation,Single,60714.0,0,0,56,2,7,4,10,5,0,0,0,0,0,0,1,58,957
1981,Master,Married,77882.0,0,0,29,1,3,3,5,1,0,0,0,0,0,0,0,33,818
1986,PhD,Single,69867.0,0,0,30,1,3,5,8,1,0,0,0,1,0,0,1,28,925
1968,Master,Divorced,63841.0,0,1,64,1,9,3,9,6,0,0,0,0,0,0,0,46,908
1981,Basic,Married,24480.0,1,0,46,3,3,0,4,7,0,0,0,0,0,0,0,33,102
1974,PhD,Married,65640.0,0,1,74,1,5,1,8,2,0,0,0,0,0,0,0,40,461
1975,Master,Married,44319.0,1,1,18,2,2,0,3,5,0,0,0,0,0,0,0,39,37
1974,Graduation,Married,30631.0,1,0,75,1,3,1,2,7,0,0,0,0,0,0,0,40,70
1952,Graduation,Married,75278.0,0,0,17,1,6,3,13,3,0,0,0,0,0,0,0,62,930
1956,Master,Married,50898.0,1,1,88,13,6,2,12,5,0,0,0,0,0,0,0,58,859
1966,Graduation,Widow,79946.0,0,0,19,1,5,11,5,3,0,0,0,0,0,0,0,48,1478
